Word,Clue
STOCKOPTION,Chicken broth or beef bouillon?
SPACENEEDLE,"*Seattle, 1962"
EIFFELTOWER,"*Paris, 1889"
FERRISWHEEL,"*Chicago, 1893"
RAWRECRUITS,New members of the nudist club?
COMICSTRIPS,What happens in the stand-up show at the nudist club?
BARBARABUSH,Former first and second lady
DREADNOUGHT,W.W. I-era battleship
GIMMEABREAK,"""Jeez, lighten up, will ya!"""
OUTOFPOCKET,Like medical expenses you pay for yourself
ALPHAFEMALE,Leading lady?
EXTRACREDIT,Student's bonus points
COFFEETABLE,Where magazines may be laid out
BORSCHTBELT,"Once-popular resort area in the Catskills, informally"
COVERLETTER,Resume go-with
WHEREWEREWE,Post-interruption question
BORNANDBRED,"Fully from, as a place"
WONDERWOMAN,Co-founder of the Justice League
SHORTANSWER,Kind of test question
CRYSTALBALL,Clairvoyant's accessory
PORTERHOUSE,Cut above the rest?
BOOMANDBUST,Business partners
IDLECHATTER,Activity by the water cooler
NOTBADATALL,"""Better than I expected!"""
SLICEDBREAD,Wonder-ful product?
ETCHASKETCH,"Toy that was originally called ""L'Ecran Magique"" (""The Magic Screen"")"
CHATTYCATHY,"Toy with 18 spoken phrases, including ""I love you"" and ""May I have a cookie?"""
UNDERTHESUN,Where a Baltimore news reader's desk might be found?
SILICONCHIP,Siding?
BOILERPLATE,Standard contract text
AGORAPHOBIA,Fear of public places
NATALIECOLE,"""Unforgettable ... With Love"" Grammy recipient"
THELASTWORD,Final remark in an argument
CHAINLETTER,Psst! Don't pass it on!
CRASHCOURSE,Quick study
PLANETEARTH,You are here
FORALLICARE,Part of an apathetic remark
EMPTYNESTER,"Macaw, Tern"
WARTSANDALL,"... the critics loved the witch's performance, ___"
EMPIRESTATE,"Locale of Kings County and Queens County, fittingly"
SPARECHANGE,*When many people solve crosswords
TIMEISMONEY,Benjamin Franklin adage ... or a hint to interpreting the answers to the four starred clues
GRABCONTROL,Stage a coup
PRIDEPARADE,N.Y.C. event on the last Sunday in June
WHITEKNIGHT,One rushing in to save the day
LIEDETECTOR,Kind of test with unproven accuracy
TENFOOTPOLE,Staff you wouldn't want to employ?
DROPTHEBALL,Blow it
EINSTEINIUM,"99, in chemistry"
BANANAPEELS,Some slapstick props
SUMMERFLING,"*Something reminisced about in the movie ""Grease"""
CATCHPHRASE,Popular expression ... or what the opposite of the answer to each starred clue is?
GROUNDCHUCK,*Some hamburger meat
RODESHOTGUN,Traveled in the front passenger seat
RHONEVALLEY,Famed French wine region
SLYSTALLONE,"Actor with a ""Rocky"" performance, familiarly"
ONCLOUDNINE,Sent
LIQUIDASSET,"Cash or stock, e.g."
FALLINGRAIN,Danger when walkin' in a silo?
PREVENTABLE,Like something that really shouldn't have happened
ALECBALDWIN,"Two-time Emmy winner for ""30 Rock"""
TEXASHOLDEM,Alternative to five-card draw
SPACECADETS,M i l i t a r y &nbsp; t r a i n e e s
GINGERSNAPS,Actress Rogers flips out?
NONSEQUITUR,It doesn't follow
SCOUTSHONOR,Swear words?
ESCAPEROUTE,Part of an exit strategy
IRISHCOFFEE,"Joe and Jack, say?"
IRONCURTAIN,"""Barrier"" dismantled in 1991"
MARIACALLAS,Tony soprano?
SHESALLTHAT,1999 rom-com with Freddie Prinze Jr. and Rachael Leigh Cook
YOURETHETOP,"""Anything Goes"" song"
MUHAMMADALI,"Sports Illustrated named him ""Sportsman of the Century"" in 1999"
STAIRMASTER,What can help you step up your workout routine?
PURPLEHEART,*Military medal
OFFHANDEDLY,"""I've learned my lesson about feeding the tigers,"" said Tom ___"
FASHIONISTA,"Anna Wintour, e.g."
HORSDOEUVRE,"Canape, e.g."
ACEHARDWARE,Competitor of Home Depot and Lowe's
ARSENIOHALL,"Talk show host who won a season of ""Celebrity Apprentice"""
SATELLITETV,Service that's out of this world?
RHETTBUTLER,Speaker of the #1 quote on A.F.I.'s list of the 100 greatest movie quotes
INDEXFINGER,What one might be represented by
CAPTAINHOOK,Nickname for a duffer who can't hit straight?
DROPMEALINE,"""Don't be a stranger!"" ... or what you have to do three times in this puzzle"
INANINSTANT,Faster than you can say Jack Robinson
SPLITSCREEN,Like many TV news interviews
PIECEOFCAKE,"""No problemo!"""
REALTROOPER,One who doesn't give up
NOTELLMOTEL,Tryst locale
CLAMCHOWDER,"Manhattan, for one"
CUTTINGEDGE,State-of-the-art
JUNECLEAVER,"Barbara Billingsley, on ""Leave It to Beaver"""
SEARCHPARTY,The Google employees met at a ...
APPALLAPAUL,Greatly dismay one of the Beatles?
MEDGAREVERS,Civil rights activist buried in Arlington National Cemetery
PRIDEANDJOY,"Child, to doting parents"
SHOCKANDAWE,Strategy during the 2003 invasion of Iraq
SEATTLESLEW,Triple Crown winner of 1977
CARAMELCORN,Carnival bagful
SWEPTASHORE,Like some flotsam
ZONEDEFENSE,Strategy used in basketball and football
ANNIEOAKLEY,Shooting star?
SIMONEBILES,Gold star?
SNAPOUTOFIT,"""Get real, for heaven's sake!"""
BARRELOFFUN,"Carnival or circus, so to speak"
HOPEDIAMOND,45 1/2-carat gem at the National Museum of Natural History [Rhode Island]
FORWARDPASS,QB's downfield throw [Wisconsin]
RUNNERSHIGH,"It's a rush, appropriately enough"
KEYSTONEKOP,Incompetent figure of old slapstick
ROLLTHEDICE,Take a chance ... or a hint to the letters in the shaded squares
CITIZENKANE,<span>&#x1F4F0; &#x1F4B0; &#x1F6F7;</span>
MARYPOPPINS,<span>&#x2602;&#xFE0F; &#x1F45C; &#x1F3A0;</span>
TAYLORSWIFT,*Singer with the most American Music Awards of all time (29)
MARIONCRANE,"*Janet Leigh played her in ""Psycho"""
GENERATIONY,"So-called ""millennials"""
YOSEMITESAM,"*Quick-tempered, gun-toting, rabbit-hating toon"
SKINNYJEANS,*Looks that can be difficult to pull off
EVERANDANON,"Once in a while, poetically"
EMILYBRONTE,One-third of a literary trio
RELEASEDATE,Launch time
KICKSTARTER,Site of many pitches
AFRICANLION,Safari sighting [Golden State]
AVOCADOROLL,Sushi bar offering [Centennial State]
STAGFLATION,Economic lose-lose
WETHEPEOPLE,Lead-in to some important articles?
CROPCIRCLES,"Signs in the 2002 sci-fi film ""Signs"""
TAKEREVENGE,Retaliate
THEDARKSIDE,Where Darth Vader gets his strength ... or what eight answers in this puzzle share
WINETASTERS,They appreciate a nice bouquet
GRACIEALLEN,Comic foil of early TV
DELICOUNTER,Place for cold cuts
REDHERRINGS,"Nervous witnesses in mystery novels, often"
KRISTENWIIG,"""S.N.L."" alum who co-starred in 2016's ""Ghostbusters"""
NINTENDOWII,Game console introduced in 2006
BETARELEASE,Patchwork?
BAREMINIMUM,Smallest possible amount
RHODEISLAND,... It abuts water on only one of its four sides
ENGLISHHORN,... It's a woodwind from Central Europe
YACKETYYACK,Gab
USEDVEHICLE,It has some miles on it
SHOREPATROL,Petty officers on police duty while a ship is in port
THEBIGAPPLE,New York City
SINGAPOREAN,Native of the Lion City
BULLYPULPIT,Prominent position from which to pontificate
CATTYCORNER,In a diagonal position (to)
BREAKINGBAD,Taming wild horses: D-
DEBTCEILING,Certain legislative limit
ELECTRICFAN,Cooler filled with juice?
DOUBLEBLIND,Kind of experiment ... or a hint to 10 Down answers in this puzzle
NOTHINGTOIT,"... ""Piece of cake!"""
GEORGEBURNS,Comedian who'd make a good pyrotechnician?
JEREMYIRONS,Actor who'd make a good dry cleaner?
SKELETONKEY,It can open a lot of doors for you
SQUAREROOTS,Some Down answers in this puzzle
DAILYMIRROR,London tabloid that Piers Morgan once headed
BLACKMIRROR,Sci-fi anthology series on Netflix
NOTTINGHILL,1999 rom-com with Julia Roberts and Hugh Grant
BEERBARRELS,Stock in a brewery
ERINGOBRAGH,Mid-March shout
SHOWMESTATE,"Missouri, with ""the"""
OVERTHEMOON,Like a happy astronaut?
STRIKEZONES,Perfect places for bowlers to aim?
ROLLERSKATE,... the gal who spends all day at the hairdresser
PURPLEPROSE,Excessively ornate writing
JAMESTAYLOR,Soft-rock singer who received Kennedy Center Honors in 2016
RENELACOSTE,French tennis player and fashion icon
CAPITALCITY,What a star may represent
LUCILLEBALL,"TV star with a museum in Jamestown, N.Y. [4]"
SANTAMONICA,West Coast city with a popular pier
ARCTICOCEAN,Habitat for a walrus
SHADOWBOXER,Air-punching pugilist
SELENAGOMEZ,"Singer with the #1 albums ""Stars Dance"" (2013) and ""Revival"" (2015)"
LASTTOLEAVE,Person tasked with locking up
ALLTHATJAZZ,So on and so forth
RUMMAGESALE,Yard event to clear out the attic
IMABELIEVER,Advice for how the pope can reach out online?
DARLENELOVE,Singer seen annually on David Letterman's Christmas show
DONEANDDONE,"""Say no more - I'm on it"""
HARUMSCARUM,Devil-may-care
BEATLEMANIA,"""Affliction"" suffered by Fab Four devotees"
SPRINGFEVER,"""Affliction"" suffered by the winter-weary"
ENDORSEMENT,Signature
URBANLEGEND,Often-repeated bit of modern folklore
LITMUSTESTS,Decisively indicative questions
STPAULIGIRL,"Popular product of Bremen, Germany, not sold in Germany"
THELIONKING,Disney movie released in June 1994
FLORIDAKEYS,Archipelago forming the southernmost part of the continental U.S.
JACKSONHOLE,Peter ... / Rabbit ...
HORRORSTORY,Tale that might feature a haunted house
AVOTRESANTE,French toast
SEEYOULATER,"""Peace out"""
ITCOULDNTBE,"""That's impossible!"""
DEPECHEMODE,Decades-old synth-pop group named for a fashion magazine
TABLETENNIS,Olympic sport since 1988
GREENGOBLIN,Spider-Man's archenemy
ASTARISBORN,2018 Oscar-nominated picture whose soundtrack sold over one million copies
WONONPOINTS,"Was barely victorious, as in boxing"
NOTABADIDEA,"""Pretty good thinking ..."""
TREASUREMAP,"Prop in ""Raiders of the Lost Ark"""
PIERCEARROW,Luxury car of the early 20th century
FROST/NIXON,2008 movie starring Michael Sheen and Frank Langella
RAISINGCAIN,Up to no good
NAPOLEONIII,Youngest French president before Macron
ATOMSMASHER,The world's largest one straddles the border of France and Switzerland
PANICATTACK,*Flop sweat producer
LIKEYOUKNOW,*Scoffing remark to an ignoramus
KNOCKEMDEAD,"""Show the world what you've got!"""
PRNIGHTMARE,Big hassle for an agency
CLAIMTOFAME,Defining accomplishment
ESPRESSOBAR,Place for hot shots
GRAPELEAVES,*They get stuffed at Greek restaurants
ORANGEPEELS,*Garnishes for old-fashioneds
COLBERTBUMP,Boost after appearing on a certain old Comedy Central show
ISTHATAFACT,Copy editor
LEADBALLOON,Complete failure
BLOODVESSEL,Needle point?
PARADEFLOAT,"At the ice cream parlor, the grand marshal ordered a ..."
TRAFFICCONE,The crossing guard ordered a ...
ABSTRACTART,What may be created using the answers to the six starred clues?
ICANSEETHAT,"""Obviously!"""
RIGHTONTIME,Promptly
IMEANREALLY,"""Are you kidding me?!"""
POPQUESTION,Impetus behind a paternity test?
TIMEMACHINE,Fantastic means of travel
ANIMALHOUSE,Movie that really should have featured Nicolas Cage?
JUDYGARLAND,First female recipient of the Cecil B. DeMille lifetime achievement award in film
BEERGOGGLES,Drinking glasses?
WHERESWALDO,1987 children's best seller
TRAILBLAZER,Proper attire for picking up a series of clues?
BLACKFRIDAY,What follows Thanksgiving
WAYNESWORLD,"1992 comedy based on a long-running ""S.N.L."" sketch"
NEDFLANDERS,"""Hi-diddly-ho!"" speaker on TV"
KISSGOODBYE,"Accept the sudden loss of, as an opportunity"
GROUNDSCREW,Baseball field maintainers
OREGONTRAIL,Path for Western settlers
PATRONSAINT,"Joseph, to the Catholic Church"
AIDESDECAMP,Military assistants
SEEDOYSTERS,Base of some aquaculture farms
LITTERBOXES,"Places where some house pets ""go,"" in both this puzzle and real life"
KITTYCORNER,Diagonally ... or a hint to four of this puzzle's squares
SIMPLESIMON,Nursery rhyme character who met a pieman
ODDSANDENDS,13579 AZ
POWEROUTAGE,*Reason for resetting a digital clock
SUPERBOWLAD,Famously expensive commercial
PETSEMATARY,Stephen King novel with a misspelling in the title
DEEDEEMYERS,"Press secretary who inspired C. J. Cregg of ""The West Wing"""
OLIVEGARDEN,"Restaurant chain with a ""never-ending pasta bowl"""
MEREMORTALS,People vis-a-vis gods
RIDESHOTGUN,Not be in the driver's seat
ASEASYASABC,Simple
SOHELPMEGOD,Swear words?
SAFECRACKER,Heist figure ...
QUEENOFMEAN,Epithet for Leona Helmsley
KINGSOLOMON,Builder of Israel's first temple
CHARLIEROSE,Talk show host named in the #MeToo movement
HUNTANDPECK,Type unprofessionally
ENGLISHROSE,Epithet for a British beauty with fair skin
TOTALRECALL,Result of a photographic memory
ROLLOVERIRA,Option for moving an investment
TENTHINNING,Bonus in baseball
SITTINGDUCK,Defenseless target
CONANOBRIEN,Longtime talk show host with a degree from Harvard
STEVEMARTIN,Comedian Carell + comedian Short = comedian ___
LONDONBROIL,Meat entree in the United Kingdom
SECRETSAUCE,"""Ingredient"" of success"
MADSCRAMBLE,DAM
DAILYJUMBLE,LYDIA
BLASTINGCAP,Article of headwear for an explosives engineer?
THREEWAYTIE,Article of neckwear for the Stooges?
HOTDOGSTAND,"Simple business, frankly speaking?"
SPLITSVILLE,Where a rocky relationship may end
IHEARTRADIO,Music-streaming giant
CAMERAREADY,"Photogenic, informally"
GENETICCODE,Part of what makes you you
EVALONGORIA,"""Desperate Housewives"" co-star"
CHEESECURLS,Arm exercise at a dairy farm?
PEASANTARMY,"Militia of farmers, e.g."
PRIMENUMBER,"3, 5 or 7, but not 9"
BLOCKLETTER,Big character?
PASSINGLANE,It's left on a highway ... or a path used by five answers in this puzzle?
CONSTANTINE,Emperor who called the First Council of Nicaea
CALLTOORDER,"Start, as a meeting"
MADMAGAZINE,"Pac-Man was its ""Man of the Year"" in 1982"
TRANSGENDER,"Taking on a new identity, in a way"
PIANOSONATA,One of 32 for Beethoven
SPIDEYSENSE,"Intuition, jocularly"
CEMENTSHOES,The last pair you'll ever wear?
FALSEBOTTOM,Where the magician hides the rabbit
HORSEHOCKEY,"""Balderdash!"""
PTAMEETINGS,They're usually held on school nights
EXTRACHEESE,Pizzeria order
ENDLESSLOOP,Code violation requiring an emergency exit?
HIGHFALUTIN,Fancy-pants
OPENANDSHUT,Easily decided
LEGALBRIEFS,Underwear for judges?
DISCJOCKEYS,Underwear for Frisbee enthusiasts?
MOVIESHORTS,Underwear for actors?
UPSANDDOWNS,Fickleness of life
GENETHERAPY,Procedure that targets mutations
ESTATESALES,Events of interest to antiquers
GREATDIVIDE,Passage between life and death
PICKUPSTEAM,Bad thing to see under a truck's hood?
WALKONWATER,Unrecruited athlete's bottleful?
SILENTNIGHT,"Song whose first verse ends ""Sleep in heavenly peace"""
BARBARAEDEN,"""Jeannie Out of the Bottle"" memoirist"
CITYSLICKER,Country bumpkin's counterpart
SMARTYPANTS,Know-it-all
IPCRESSFILE,"1965 Michael Caine spy thriller, with ""The"""
FRONTRUNNER,Political leader?
POTATOCHIPS,Snack items
IRAROLLOVER,Option when changing jobs
PIRATERADIO,Offshore waves?
CANTILEVERS,Projecting beams on a bridge
NAMEDROPPER,Supercilious sort ... or the title for this puzzle
EXTRAVIRGIN,Like high-quality olive oil
LOTUSEATERS,Lackadaisical sorts
JACKSPARROW,"Johnny Depp's Oscar-nominated role in ""Pirates of the Caribbean"""
MARISATOMEI,"""It's-a me, Mario!"""
AREACODEMAP,Feature in a telephone directory
HOUSEBROKEN,Like most pet dogs ... or a hint to this puzzle's circled letters
URBANSPRAWL,Growing problem in cities?
THEBIGCHILI,Friends gather for a funeral ... AND COOK UP AN ENORMOUS STEW!
MAKESAUTURN,Reverses course
QUARTERTONE,Half of a half step in music
HOMETHEATER,"Setup for a Netflix film, say"
BOSTONCREAM,Kind of pie that's actually a cake
IMIMPRESSED,"""Well done!"""
UNITEDFRONT,Alliance of groups against a common enemy
EGGMCMUFFIN,Croissan'wich alternative
LIGHTMYFIRE,The Doors torch song?
TOMATOPASTE,*Marinara sauce thickener
LUCYVANPELT,*Dispenser of psychiatric advice to Charlie Brown
TALLAHASSEE,Major U.S. city with three pairs of double letters in its name
SAYITAINTSO,"""Tell me the rumors are false!"""
PINTMEASURE,Pyrex glass marking
LINCOLNLOGS,Material for small buildings?
LOOSECANNON,Unpredictable sort
JUKEBOXHERO,"Foreigner song with the lyric ""With that one guitar / He'll come alive"""
PULPFICTION,1994 John Travolta film
MAINSQUEEZE,Steady
FINNISHLINE,"""We're getting close to the end as the car from Helsinki leads the way to the ___!"""
PHOTOFINISH,End of a close race
CAESARSALAD,"Dish made with romaine lettuce, croutons and Parmesan cheese"
TAKEANUMBER,Deli counter sign
VETERANSDAY,Time for remembrance
PESTCONTROL,Debugging?
PUSSYGALORE,1964 role for Honor Blackman
MARENOSTRUM,"The Mediterranean, to ancient Romans"
GUADALCANAL,1942-43 battle site
INNERBEAUTY,What kindness and honesty reveal
CHARMSCHOOL,Educational institution for witches?
WISDOMTEETH,Ones down in the mouth?
WILLIAMTELL,"Apple employer, once?"
ITSNOWONDER,"""I'm not at all surprised"""
TIMESSQUARE,"Facebook Status: ""10-9-8-7 ... Ringing in the New Year with 1,000,000 of my newest, closest friends!"""
CURTAINCALL,Decision to go with drapes instead of blinds?
SUMMERSTOCK,Accountant's shares in a company?
CHUMPCHANGE,A mere pittance
SUCKERPUNCH,Unexpected hit
GARAGESALES,Pre-moving day events
GIVEMEARING,"""Call sometime"""
ITSNOBIGGIE,"""Nothing to get worked up about"""
OVERTHEHUMP,No longer struggling
SANDGROUSES,Birds found in semideserts
MEDIAFRENZY,"Atmosphere around a celebrity trial, say"
WORLDSAPART,Like night and day
HORSEAROUND,Goof off
ADOLESCENTS,Minority group
LAYAWAYPLAN,The seller takes no interest in it
SMORGASBORD,Choice meal?
POSTERCHILD,Archetype
FDAAPPROVAL,Need for drugs
GRANDRAPIDS,Gerald Ford's hometown
PANDORASBOX,Don't open it!
LAMEBRAINED,None too smart
GOTOTHEDOGS,Completely fall apart
FITTOBETIED,What some wrap dresses are?
CUTANDDRIED,Like a model's hairstyle?
BESTMUSICAL,"Award for ""Hairspray"" but not ""Hair"""
ETPHONEHOME,Famous 1980s movie quote
THREEINAROW,"XXX, for example"
PLAINSPOKEN,Bluntly honest
HORNETSNEST,Dangerous situation
EVELKNIEVEL,Daredevil in the Motorcycle Hall of Fame
CANITRYSOME,"""Will you let me have a taste?"""
ICECUBETRAY,Freeze frame?
AIRFORCEONE,President's plane
ROASTTURKEY,Thanksgiving entree
LADYMADONNA,"""Hey Jude"" song that mentions every day of the week but Saturday"
ANDILOVEHER,"""A Hard Day's Night"" song that Lennon called McCartney's ""first 'Yesterday'"""
STRIKEFORCE,Military unit assembled for sudden attack
FOURCORNERS,Southwest tourist destination
COSMOKRAMER,"""Seinfeld"" character"
DONTBECRUEL,#1 Presley hit
DEERSTALKER,Part of Sherlock Holmes's attire
GENDERFLUID,Moving between male and female
HEATSENSORS,Toaster components
LORETTASWIT,"She had a ""major"" role on ""M*A*S*H"""
MYSWEETLORD,1970 Harrison song
ASEASYASPIE,"Simple, simple, simple"
FLORIDATECH,University in Melbourne
FLEXITARIAN,Occasional meat eater
CATSPAJAMAS,Living end
ALICEWALKER,"""Meridian"" and ""The Temple of My Familiar"" novelist"
MIDDLECLASS,Bourgeoisie
CRANKCALLER,"One asking for Ahmed Adoudi, say"
POLEVAULTER,One with a high bar to reach
PROTESTVOTE,"Support for a fringe candidate, maybe"
SAWEDINHALF,"Like some magicians' assistants, apparently"
WHISKEYSOUR,Drink often garnished with a cherry
PUPUPLATTER,Assortment of appetizers at a Polynesian or Chinese restaurant
NOISEMAKERS,Annual party favors
MARXBROTHER,"Any one of the stars of ""Duck Soup"""
STONECIRCLE,Druidic monument
PENNYARCADE,Retro amusement center
KISSMYGRITS,Sitcom catchphrase of the '70s and '80s
ZEROSUMGAME,"Situation in which, on the whole, nothing can be gained or lost"
BATTERYACID,"Coffee, in military slang"
PIECEOFWORK,Unpleasant sort
MATEFORLIFE,"Have an unchanging, monogamous relationship"
TICKETAGENT,Cite a chap for speeding?
NEWYORKCITY,Queens' place
NEARESTEXIT,Something to look for in an emergency
LEFTTORIGHT,"How people are usually listed in photo captions [phew, all done!]"
QUALITYTIME,*What a family spends together at the dinner table
TEXTMESSAGE,*Its arrival may be signaled by a ding
ANYTHINGBUT,"""Definitely not THAT!"""
INTERRACIAL,Like marriage supported by Loving v. Virginia
TOSSEDSALAD,Course that offers mixed results?
HAREBRAINED,Cockamamie
CHARTTOPPER,Hat for pop singer Corey?
RADIOGALAXY,Source of faraway X-rays
COVERCHARGE,"*Cost to enter a bar, maybe"
GREENSCREEN,Common film background
SECRETSANTA,Game for the gifted?
GRANDPOOBAH,CHEESE
FREDASTAIRE,"Santa player in ""The Man in the Santa Claus Suit"""
ELVINBISHOP,"""Fooled Around and Fell in Love"" hitmaker of 1976"
BOXERBRIEFS,Law documents concerning pugilists?
PARTINGSHOT,"End of a heated exchange, perhaps"
KNEESLAPPER,Really good joke
TORCHBEARER,"Muhammad Ali, for the 1996 Olympics"
PRIZEINSIDE,Cracker Jack come-on
RECORDLABEL,"RCA, for one"
EIGHTMENOUT,1988 film about the Black Sox scandal
POINSETTIAS,Traditional Christmas plants
TURNSIGNALS,Blinkers
BEAUXGESTES,Chivalrous deeds
GINGERBREAD,Material for a seasonal house
COLDHEARTED,Cruel
BARMITZVAHS,13 things?
CHEESEPIZZA,Basic order at Domino's
JUSTDESERTS,Comeuppance
NEWPORTNEWS,Virginia city known for its shipbuilding
DEADBATTERY,*Reason for jumper cables
BENCHWARMER,"*Athlete who ""rides the pine"""
MEMORYCHIPS,Data storage devices
SMARTCOOKIE,Bright sort
LONGSTEMMED,Like some wineglasses and roses
VICHYSSOISE,Creamy chilled soup
LEBRONJAMES,"N.B.A. M.V.P. who has hosted ""Saturday Night Live"""
DONTGOTHERE,"""Can we not talk about that!"""
OLIVEBRANCH,*Offer of reconciliation
COURTJESTER,"Rigoletto, for one"
BAKEDALASKA,Ice cream and sponge topped with meringue and placed in a very hot oven for a few minutes
PLUMPUDDING,"Steamed-for-hours, aged-for-months concoction of treacle, brandy, fruit and spices, set afire and served at Christmas"
ANDSOITGOES,Phrase of resignation
QUESERASERA,Phrase of resignation
ALTERNATIVE,Choice
ETONCOLLEGE,Historic institution on the Jubilee River
LEGSDIAMOND,Gangland rival of Dutch Schultz
BITTERENEMY,Archfoe
YELLOWSTONE,Home to more than half the world's active geysers
DAILYPLANET,"Newspaper with the headline ""Mystery Hero Saves Falling Space Plane"""
BLINDALLEYS,Many investigators' leads
AGENTORANGE,Weapon used in the Vietnam War
SOFTPRETZEL,"Hot, salty snack"
LIFEOFRILEY,[See circled letters]
SUPERSIZEME,*2004 documentary about fast food
WINESTEWARD,Port authority?
EXPOSTFACTO,"Retroactively, at law"
YCHROMOSOME,Male characteristic
WEATHERVANE,It's on the house
PEEWEEREESE,1940s-'50s Dodgers great who lent support to Jackie Robinson
DATEANDTIME,What MEDITATE can anagram to
KISSANDTELL,What SKILLETS can anagram to
SELFIESTICK,Something held at arm's length
AHEADOFTIME,"... ""two"" or ""face""?"
CESARROMERO,Hollywood star whose grandfather was the Cuban patriot Jose Marti
ESTREETBAND,Bruce Springsteen's group
PINACOLADAS,Tropical drinks often served with umbrellas
GALAXYQUEST,1999 parody featuring the starship Protector
PETESAMPRAS,"He said ""You kind of live and die by the serve"""
DELUXEMODEL,Provider of more bells and whistles
LILYMUNSTER,1960s sitcom matriarch
WAXESPOETIC,Uses flowery language
DINNERTABLE,Family gathering place
THATSAMORAY,"""Conger eel? Au contraire!"""
MARATHONMAN,1976 Dustin Hoffman thriller
